-182.007, 78.476, 1.556,  1.765
-181.982, 78.432, 1.490,  1.798
-181.960, 78.389, 1.439,  1.831
-181.940, 78.344, 1.414,  1.864
-181.922, 78.298, 1.421,  1.897
-181.907, 78.249, 1.452,  1.930
-181.894, 78.197, 1.509,  1.963
-181.884, 78.140, 1.571,  1.996
-181.877, 78.079, 1.623,  2.029
-181.874, 78.015, 1.689,  2.062
-181.874, 77.947, 1.763,  2.095
-181.876, 77.877, 1.819,  2.128
-181.880, 77.806, 1.844,  2.161
-181.887, 77.735, 1.849,  2.194
-181.896, 77.664, 1.838,  2.227
-181.908, 77.594, 1.815,  2.260
-181.921, 77.527, 1.779,  2.293
-181.933, 77.459, 1.832,  2.326
-181.940, 77.391, 1.906,  2.359
-181.942, 77.322, 1.969,  2.392
-181.938, 77.254, 1.997,  2.425
-181.929, 77.188, 1.991,  2.458
-181.915, 77.124, 1.954,  2.491
-181.897, 77.063, 1.900,  2.524
-181.878, 77.004, 1.837,  2.557
-181.856, 76.950, 1.744,  2.590
-181.833, 76.899, 1.669,  2.623
-181.809, 76.850, 1.610,  2.656
-181.786, 76.801, 1.617,  2.689
-181.765, 76.750, 1.663,  2.722
-181.748, 76.695, 1.741,  2.755
-181.732, 76.635, 1.846,  2.788
-181.718, 76.571, 1.948,  2.821
-181.707, 76.504, 2.015,  2.854
-181.698, 76.436, 2.021,  2.887
-181.693, 76.368, 1.996,  2.920
-181.692, 76.301, 1.947,  2.953
-181.694, 76.236, 1.872,  2.986
-181.700, 76.173, 1.787,  3.019
-181.710, 76.113, 1.700,  3.052
-181.720, 76.054, 1.719,  3.085
-181.726, 75.992, 1.791,  3.118
-181.729, 75.928, 1.896,  3.151
-181.726, 75.861, 2.014,  3.184
-181.718, 75.791, 2.107,  3.217
-181.706, 75.720, 2.147,  3.250
-181.691, 75.650, 2.147,  3.283
-181.672, 75.581, 2.121,  3.316
-181.651, 75.514, 2.075,  3.349
-181.632, 75.448, 2.056,  3.382
-181.617, 75.383, 2.023,  3.415
-181.608, 75.318, 1.949,  3.448
-181.602, 75.255, 1.887,  3.481
-181.598, 75.194, 1.837,  3.514
-181.598, 75.133, 1.805,  3.547
-181.601, 75.072, 1.797,  3.580
-181.607, 75.010, 1.825,  3.613
-181.617, 74.946, 1.878,  3.646
-181.627, 74.877, 2.021,  3.679
-181.634, 74.804, 2.186,  3.712
-181.637, 74.725, 2.327,  3.745
-181.634, 74.645, 2.407,  3.778
-181.626, 74.564, 2.433,  3.811
-181.614, 74.483, 2.426,  3.844
-181.599, 74.405, 2.391,  3.877
-181.580, 74.329, 2.336,  3.910
-181.559, 74.255, 2.266,  3.943
-181.540, 74.183, 2.238,  3.976
-181.525, 74.111, 2.201,  4.009
-181.516, 74.041, 2.142,  4.042
-181.510, 73.972, 2.051,  4.075
-181.508, 73.906, 1.977,  4.108
-181.508, 73.842, 1.922,  4.141
-181.512, 73.778, 1.887,  4.174
-181.519, 73.714, 1.881,  4.207
-181.529, 73.650, 1.915,  4.240
-181.539, 73.581, 2.048,  4.273
-181.545, 73.507, 2.196,  4.306
-181.545, 73.430, 2.327,  4.339
-181.541, 73.349, 2.415,  4.372
-181.532, 73.267, 2.451,  4.405
-181.519, 73.186, 2.444,  4.438
-181.502, 73.107, 2.408,  4.471
-181.487, 73.028, 2.397,  4.504
-181.478, 72.950, 2.367,  4.537
-181.473, 72.873, 2.316,  4.570
-181.471, 72.798, 2.251,  4.603
-181.472, 72.725, 2.158,  4.636
-181.477, 72.656, 2.078,  4.669
-181.484, 72.588, 2.027,  4.702
-181.489, 72.520, 2.042,  4.735
-181.489, 72.450, 2.089,  4.768
-181.484, 72.379, 2.161,  4.801
-181.475, 72.304, 2.250,  4.834
-181.462, 72.227, 2.336,  4.867
-181.452, 72.146, 2.429,  4.900
-181.446, 72.064, 2.469,  4.933
